LATITUDE,LONGITUDE,POP
35.590563294,73.582107064,hehe
37.287404438,75.955153939,f
38.809985122,78.855544564,c
39.423696482,82.810622689,d
38.809985122,86.985427377,e
36.866678133,89.841872689,f
34.221135627,90.544997689,g
31.189565688,89.929763314,h
28.599255591,88.523513314,d
25.864437167,86.502028939,e
22.741000428,84.832107064,f
20.040732860,83.250075814,x
17.041316822,81.140700814,k
14.333873259,79.558669564,s
12.109445908,77.537185189,a
9.866336382,75.339919564,l
12.624551167,72.263747689,n
15.183772637,70.242263314,k
18.130476940,67.869216439,m
20.453031119,65.935622689,h
23.145687613,63.914138314,g
25.785324216,61.716872689,v
28.753476173,59.431716439,p
31.452353031,57.717849252,u
33.966391667,57.586013314,i
36.018246985,58.640700814,l
38.052653568,60.837966439,r
39.015149376,64.177810189,y
38.946827193,68.396560189,z
37.217445586,71.121169564,o
31.714405221,71.033278939,l
30.131135493,70.945388314,j
28.753476173,70.857497689,k
27.435432103,70.945388314,pp
25.785324216,70.857497689,op
24.272279110,71.033278939,kk
22.741000428,71.033278939,jl
20.946330761,70.945388315,lk
32.012988882,73.494216439,mm
31.414856910,75.339919564,ui
29.750332009,75.955153939,lol
28.212714274,75.076247689,ll
27.435432102,73.494216439,lk
25.943497195,72.263747689,ll
24.512415077,73.823806283,oi
23.145687613,75.252028939,pl
21.928038022,76.658278939,lp
20.843692598,77.910720345,I LOVE YOU ROHINI HEHE 




